student_id,sequence,Note test TP,group
241,"['technical_environment_home', 'prerequisite_techenv', 'documentation_programming', 'documentation_docker', 'practice_docker', 'practice_postgresql', 'practice_docker_advanced', 'documentation_si', 'documentation_rdbms', 'spring_bean', 'documentation_programming', 'inversion_of_control', 'spring_bean', 'inversion_of_control', 'spring_bean', 'practice_spring', 'technical_environment_home', 'documentation_docker', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa_advanced', 'practice_jpa', 'practice_jpa_advanced', 'practice_jpa', 'lecture_jpa', 'practice_jpa', 'web_architecture_home', 'practice_jpa', 'practice_spring_2tiers', 'lecture_relational_model', 'lecture_db_integrity', 'web_architecture_home', 'practice_spring_2tiers_ext', 'practice_spring_2tiers', 'lecture_dto', 'lecture_xml', 'lecture_json', 'practice_json', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'technical_environment_home', 'web_architecture_home', 'practice_jpa', 'lecture_independence_views', 'activity_conceptual_modeling', 'practice_spring_2tiers_ext', 'practice_spring_2tiers', 'practice_jpa_advanced', 'web_architecture_home', 'activity_sql', 'lecture_relational_model', 'lecture_db_integrity', 'lecture_modeling_normalization', 'practice_advanced_sql', 'practice_sql', 'practice_advanced_sql', 'practice_sql', 'activity_sql_correction', 'practice_sql_correction', 'web_architecture_home', 'practice_json', 'practice_advanced_sql', 'practice_advanced_sql_correction', 'lecture_transaction', 'lecture_isolation', 'lecture_indexation', 'practice_transaction', 'web_architecture_home', 'lecture_transaction', 'lecture_isolation', 'practice_transaction', 'prerequisite_data', 'practice_transaction_correction', 'practice_isolation', 'practice_indexation', 'activity_conceptual_modeling', 'lecture_modeling_normalization', 'practice_independence_views', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'lecture_independence_views', 'activity_conceptual_modeling', 'activity_conceptual_modeling_advanced', 'web_architecture_home', 'practice_json', 'lecture_parser', 'lecture_jaxb', 'practice_xml', 'practice_schema_xml', 'activity_decomposition', 'activity_conceptual_modeling_correction', 'activity_normalization', 'activity_normalization_correction', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'prerequisite_data', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'lecture_independence_views', 'activity_conceptual_modeling', 'lecture_jpa', 'practice_jpa', 'practice_spring_2tiers', 'lecture_dto', 'technical_environment_home', 'documentation_programming', 'spring_bean', 'practice_spring', 'inversion_of_control', 'lecture_transaction', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'activity_conceptual_modeling_correction', 'web_architecture_home', 'activity_conceptual_modeling_advanced', 'activity_normalization', 'activity_normalization_correction', 'lecture_relational_algebra', 'activity_decomposition', 'activity_decomposition_correction', 'practice_transaction', 'practice_isolation', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_json', 'practice_json', 'practice_sql', 'practice_sql_correction', 'web_architecture_home', 'lecture_xml', 'practice_spring_2tiers_ext', 'practice_jpa_advanced', 'practice_jpa', 'web_architecture_home', 'practice_spring_2tiers_ext', 'practice_indexation', 'lecture_indexation', 'activity_conceptual_modeling', 'activity_conceptual_modeling_advanced', 'activity_normalization', 'lecture_independence_views', 'lecture_normalization', 'lecture_independence_views', 'lecture_normalization', 'lecture_conceptual_modeling', 'web_architecture_home', 'practice_spring_2tiers', 'practice_spring_2tiers_ext', 'web_architecture_home', 'practice_jpa', 'web_architecture_home', 'activity_normalization', 'lecture_normalization', 'lecture_conceptual_modeling', 'lecture_modeling_normalization']",16.63,success
2410,"['technical_environment_home', 'documentation_docker', 'prerequisite_techenv', 'practice_docker', 'practice_postgresql', 'documentation_si', 'documentation_rdbms', 'documentation_programming', 'practice_spring', 'practice_docker', 'documentation_programming', 'practice_spring', 'documentation_programming', 'practice_spring', 'inversion_of_control', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_technical_architecture', 'web_architecture_home', 'lecture_software_architecture', 'lecture_mvc_spring', 'practice_spring_2tiers', 'web_architecture_home', 'lecture_jpa', 'practice_jpa', 'lecture_dto', 'lecture_xml', 'practice_xml', 'lecture_json', 'practice_json', 'prerequisite_data', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'practice_docker', 'technical_environment_home', 'prerequisite_techenv', 'prerequisite_data', 'practice_docker', 'prerequisite_data', 'lecture_normalization', 'activity_normalization', 'activity_normalization_correction', 'activity_decomposition', 'activity_sql', 'practice_sql', 'practice_docker', 'prerequisite_data', 'activity_decomposition', 'activity_sql', 'practice_sql', 'lecture_transaction', 'practice_transaction', 'practice_docker', 'practice_transaction', 'lecture_transaction', 'technical_environment_home', 'web_architecture_home', 'technical_environment_home', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'practice_spring_2tiers', 'activity_conceptual_modeling', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_dto', 'lecture_xml', 'practice_xml', 'lecture_json', 'lecture_jpa', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'practice_json', 'practice_spring_2tiers', 'practice_jpa', 'lecture_mvc_spring', 'technical_environment_home', 'documentation_docker', 'practice_docker', 'activity_relational_model', 'activity_conceptual_modeling', 'technical_environment_home', 'prerequisite_techenv', 'practice_docker', 'practice_postgresql', 'web_architecture_home', 'lecture_jpa', 'practice_jpa', 'web_architecture_home', 'practice_spring_2tiers', 'practice_jpa', 'practice_jpa_advanced']",16.56,success
2411,"['technical_environment_home', 'prerequisite_techenv', 'documentation_programming', 'practice_spring', 'documentation_docker', 'practice_docker', 'documentation_si', 'inversion_of_control', 'practice_postgresql', 'inversion_of_control', 'spring_bean', 'documentation_rdbms', 'documentation_docker', 'web_architecture_home', 'prerequisite_archiweb', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_software_architecture', 'prerequisite_archiweb', 'lecture_mvc_spring', 'practice_spring_2tiers', 'prerequisite_archiweb', 'lecture_mvc_spring', 'practice_spring_2tiers', 'web_architecture_home', 'technical_environment_home', 'prerequisite_techenv', 'practice_docker', 'prerequisite_archiweb', 'practice_spring_2tiers', 'lecture_jpa', 'lecture_mvc_spring', 'practice_jpa', 'prerequisite_archiweb', 'practice_jpa', 'prerequisite_archiweb', 'lecture_dto', 'lecture_xml', 'lecture_dto', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_json', 'practice_json', 'practice_xml', 'lecture_validity', 'prerequisite_data', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'prerequisite_data', 'activity_relational_model', 'lecture_db_integrity', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'prerequisite_data', 'activity_conceptual_modeling_advanced', 'lecture_normalization', 'activity_normalization', 'activity_relational_model', 'activity_sql', 'web_architecture_home', 'technical_environment_home', 'documentation_docker', 'practice_postgresql', 'prerequisite_data', 'activity_sql_correction', 'practice_sql', 'practice_sql_correction', 'prerequisite_archiweb', 'lecture_jpa', 'practice_jpa', 'lecture_mvc_spring', 'lecture_conceptual_modeling', 'web_architecture_home', 'prerequisite_data', 'lecture_transaction', 'lecture_isolation', 'practice_transaction', 'prerequisite_archiweb', 'practice_jpa_advanced', 'prerequisite_data', 'web_architecture_home', 'prerequisite_archiweb', 'practice_jpa_advanced', 'practice_jpa', 'web_architecture_home', 'prerequisite_archiweb', 'practice_spring_2tiers_ext', 'prerequisite_data', 'lecture_conceptual_modeling', 'activity_normalization', 'lecture_independence_views', 'technical_environment_home', 'web_architecture_home']",9.55,failure
2412,"['technical_environment_home', 'prerequisite_techenv', 'documentation_docker', 'technical_environment_home', 'practice_docker', 'practice_postgresql', 'documentation_programming', 'practice_spring', 'documentation_docker', 'technical_environment_home', 'practice_postgresql', 'practice_docker', 'practice_postgresql', 'practice_docker', 'practice_docker_advanced', 'documentation_si', 'documentation_rdbms', 'practice_postgresql', 'documentation_programming', 'practice_spring', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'web_architecture_home', 'lecture_software_architecture', 'lecture_jpa', 'practice_jpa', 'technical_environment_home', 'web_architecture_home', 'practice_jpa', 'lecture_relational_model', 'lecture_db_integrity', 'lecture_relational_algebra', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'activity_conceptual_modeling', 'activity_normalization', 'activity_decomposition', 'practice_sql', 'lecture_transaction', 'practice_advanced_sql', 'lecture_conceptual_modeling', 'lecture_modeling_normalization', 'lecture_normalization', 'activity_decomposition', 'activity_sql', 'practice_sql', 'practice_advanced_sql', 'lecture_transaction', 'practice_transaction', 'lecture_transaction', 'lecture_isolation', 'practice_transaction', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_json', 'practice_json', 'lecture_xml', 'practice_xml', 'lecture_xpath', 'lecture_parser', 'practice_jpa', 'lecture_jpa', 'practice_jpa', 'lecture_mvc_spring', 'prerequisite_data', 'lecture_normalization', 'technical_environment_home', 'prerequisite_data', 'lecture_normalization', 'lecture_conceptual_modeling', 'lecture_independence_views', 'activity_conceptual_modeling', 'activity_conceptual_modeling_advanced', 'activity_conceptual_modeling_advanced_correction', 'activity_decomposition', 'activity_decomposition_correction', 'prerequisite_data', 'activity_decomposition', 'practice_advanced_sql', 'activity_decomposition', 'web_architecture_home', 'activity_normalization', 'activity_decomposition', 'activity_decomposition_correction', 'activity_decomposition', 'web_architecture_home', 'prerequisite_archiweb', 'practice_spring_2tiers_ext', 'practice_spring_2tiers', 'technical_environment_home', 'documentation_programming', 'practice_spring', 'web_architecture_home', 'technical_environment_home', 'documentation_docker', 'practice_docker', 'web_architecture_home']",7.55,failure
2413,"['technical_environment_home', 'prerequisite_techenv', 'practice_docker', 'inversion_of_control', 'spring_bean', 'practice_spring', 'practice_postgresql', 'documentation_programming', 'documentation_rdbms', 'documentation_si', 'technical_environment_home', 'prerequisite_techenv', 'documentation_docker', 'practice_docker', 'documentation_programming', 'practice_spring', 'technical_environment_home', 'prerequisite_techenv', 'documentation_programming', 'prerequisite_techenv', 'practice_spring', 'prerequisite_techenv', 'practice_spring', 'prerequisite_techenv', 'practice_postgresql', 'prerequisite_techenv', 'practice_docker_advanced', 'prerequisite_data', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'activity_relational_model_correction', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'activity_conceptual_modeling_advanced', 'activity_conceptual_modeling_advanced_correction', 'activity_normalization', 'activity_normalization_correction', 'activity_decomposition', 'activity_decomposition_correction', 'practice_independence_views', 'activity_sql', 'activity_sql_correction', 'activity_sql', 'practice_independence_views', 'practice_sql', 'lecture_transaction', 'practice_transaction', 'lecture_transaction', 'practice_transaction_correction', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'web_architecture_home', 'practice_spring_2tiers', 'lecture_jpa', 'web_architecture_home', 'prerequisite_data', 'activity_conceptual_modeling', 'practice_sql', 'practice_advanced_sql', 'practice_transaction', 'practice_spring_2tiers', 'web_architecture_home', 'practice_spring_2tiers', 'lecture_xml', 'practice_xml', 'lecture_json', 'prerequisite_data', 'web_architecture_home', 'practice_spring_2tiers_ext', 'practice_jpa', 'lecture_jpa', 'activity_normalization', 'web_architecture_home', 'practice_spring_2tiers_ext', 'practice_jpa', 'practice_spring_2tiers', 'practice_spring_2tiers_ext', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction']",8.506,failure
2414,"['technical_environment_home', 'prerequisite_techenv', 'documentation_docker', 'practice_docker', 'documentation_si', 'practice_postgresql', 'documentation_rdbms', 'documentation_programming', 'prerequisite_techenv', 'documentation_programming', 'practice_spring', 'technical_environment_home', 'inversion_of_control', 'spring_bean', 'inversion_of_control', 'practice_spring', 'technical_environment_home', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'lecture_software_architecture', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_software_architecture', 'lecture_jpa', 'lecture_mvc_spring', 'prerequisite_archiweb', 'practice_spring_2tiers', 'technical_environment_home', 'prerequisite_techenv', 'practice_spring', 'technical_environment_home', 'prerequisite_techenv', 'documentation_programming', 'inversion_of_control', 'web_architecture_home', 'prerequisite_archiweb', 'practice_spring_2tiers', 'prerequisite_archiweb', 'practice_spring_2tiers', 'prerequisite_data', 'lecture_relational_model', 'lecture_modeling_normalization', 'lecture_db_integrity', 'activity_sql', 'activity_relational_model', 'practice_sql', 'practice_sql_correction', 'lecture_transaction', 'practice_transaction', 'web_architecture_home', 'prerequisite_archiweb', 'practice_transaction', 'practice_spring_2tiers', 'prerequisite_data', 'lecture_transaction', 'practice_transaction', 'technical_environment_home', 'documentation_si', 'documentation_rdbms', 'practice_postgresql', 'prerequisite_data', 'lecture_transaction', 'practice_transaction', 'practice_transaction_correction', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_normalization', 'lecture_db_integrity', 'activity_relational_model', 'activity_relational_model_correction', 'technical_environment_home', 'prerequisite_data', 'lecture_conceptual_modeling', 'prerequisite_data', 'practice_sql', 'practice_sql_correction', 'lecture_normalization', 'activity_normalization', 'lecture_modeling_normalization', 'activity_normalization_correction', 'web_architecture_home', 'prerequisite_archiweb', 'practice_jpa_advanced', 'technical_environment_home', 'documentation_programming', 'web_architecture_home', 'prerequisite_archiweb', 'prerequisite_data', 'lecture_mvc_spring', 'lecture_jpa', 'lecture_software_architecture', 'practice_jpa', 'lecture_conceptual_modeling', 'lecture_modeling_normalization', 'lecture_normalization', 'lecture_independence_views', 'activity_conceptual_modeling', 'technical_environment_home', 'web_architecture_home', 'prerequisite_data', 'lecture_normalization', 'technical_environment_home']",10.94,failure
2415,"['technical_environment_home', 'prerequisite_techenv', 'documentation_docker', 'practice_docker', 'practice_docker_advanced', 'documentation_si', 'documentation_programming', 'prerequisite_techenv', 'practice_spring', 'technical_environment_home', 'prerequisite_techenv', 'practice_spring', 'prerequisite_techenv', 'practice_postgresql', 'prerequisite_techenv', 'web_architecture_home', 'documentation_rdbms', 'web_architecture_home', 'lecture_relational_model', 'lecture_db_integrity', 'lecture_relational_algebra', 'activity_relational_model', 'technical_environment_home', 'activity_relational_model_correction', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'lecture_independence_views', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'activity_conceptual_modeling_advanced', 'activity_conceptual_modeling_advanced_correction', 'activity_normalization', 'activity_normalization_correction', 'activity_decomposition', 'activity_decomposition_correction', 'practice_independence_views', 'activity_sql', 'activity_sql_correction', 'practice_sql', 'practice_sql_correction', 'practice_sql', 'activity_sql', 'practice_sql_correction', 'practice_advanced_sql', 'lecture_transaction', 'lecture_isolation', 'lecture_indexation', 'practice_transaction', 'practice_transaction_correction', 'practice_transaction', 'practice_isolation', 'practice_indexation', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'lecture_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'practice_spring_2tiers_ext', 'web_architecture_home', 'practice_spring_2tiers', 'practice_spring_2tiers_ext', 'technical_environment_home', 'lecture_dto', 'lecture_xml', 'lecture_validity', 'practice_xml', 'lecture_parser', 'lecture_json', 'practice_json', 'lecture_dto', 'lecture_mvc_spring', 'documentation_programming', 'web_architecture_home', 'lecture_transaction', 'practice_transaction', 'practice_transaction_correction', 'practice_sql', 'practice_sql_correction', 'activity_decomposition', 'web_architecture_home', 'technical_environment_home', 'prerequisite_archiweb', 'practice_jpa_advanced', 'practice_spring_2tiers_ext', 'practice_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'technical_environment_home', 'web_architecture_home', 'practice_jpa_advanced', 'practice_spring_2tiers_ext', 'practice_jpa_advanced', 'practice_spring_2tiers_ext', 'activity_sql', 'lecture_modeling_normalization', 'lecture_transaction', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_conceptual_modeling', 'activity_conceptual_modeling_advanced', 'activity_normalization', 'practice_independence_views', 'activity_decomposition', 'web_architecture_home', 'technical_environment_home', 'documentation_docker', 'practice_docker', 'documentation_si', 'practice_postgresql', 'documentation_programming', 'inversion_of_control', 'practice_spring', 'practice_docker_advanced', 'spring_bean', 'practice_spring', 'web_architecture_home', 'lecture_software_architecture', 'practice_spring_2tiers_ext', 'practice_spring_2tiers', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture']",7.19,failure
2416,"['technical_environment_home', 'prerequisite_techenv', 'documentation_rdbms', 'documentation_docker', 'practice_docker', 'practice_docker_advanced', 'documentation_rdbms', 'practice_postgresql', 'documentation_si', 'documentation_programming', 'inversion_of_control', 'spring_bean', 'practice_sql', 'prerequisite_data', 'activity_sql', 'practice_sql', 'practice_advanced_sql', 'practice_transaction', 'lecture_transaction', 'lecture_isolation', 'technical_environment_home', 'prerequisite_techenv', 'practice_postgresql', 'web_architecture_home', 'practice_xml', 'lecture_validity', 'practice_schema_xml', 'practice_xpath', 'lecture_json', 'practice_json', 'lecture_validity', 'activity_decomposition', 'practice_transaction', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_mvc_spring', 'prerequisite_data', 'activity_normalization', 'activity_conceptual_modeling', 'practice_transaction', 'web_architecture_home', 'practice_json', 'technical_environment_home', 'practice_spring', 'technical_environment_home', 'documentation_docker', 'spring_bean', 'practice_spring', 'documentation_programming', 'practice_docker', 'practice_docker_advanced', 'practice_postgresql', 'documentation_si', 'inversion_of_control']",9.06,failure
2417,"['technical_environment_home', 'prerequisite_techenv', 'documentation_docker', 'practice_docker', 'practice_postgresql', 'practice_docker_advanced', 'practice_postgresql', 'documentation_si', 'documentation_rdbms', 'practice_docker_advanced', 'documentation_programming', 'inversion_of_control', 'spring_bean', 'practice_spring', 'documentation_programming', 'practice_spring', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_relational_model', 'web_architecture_home', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'lecture_jpa', 'web_architecture_home', 'lecture_jpa', 'practice_jpa', 'technical_environment_home', 'practice_docker', 'web_architecture_home', 'practice_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'practice_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'prerequisite_archiweb', 'practice_spring_2tiers', 'practice_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'lecture_dto', 'lecture_xml', 'lecture_validity', 'practice_xml', 'practice_spring_2tiers', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'practice_spring_2tiers', 'prerequisite_data', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'activity_relational_model_correction', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_conceptual_modeling', 'practice_spring_2tiers', 'activity_conceptual_modeling', 'activity_normalization', 'prerequisite_data', 'lecture_conceptual_modeling', 'practice_spring_2tiers', 'prerequisite_data', 'lecture_normalization', 'lecture_conceptual_modeling', 'lecture_modeling_normalization', 'activity_normalization', 'activity_decomposition', 'practice_spring_2tiers', 'prerequisite_data', 'activity_sql', 'lecture_relational_algebra', 'activity_conceptual_modeling', 'activity_normalization', 'lecture_normalization', 'activity_sql_correction', 'practice_sql', 'practice_sql_correction', 'activity_decomposition', 'activity_normalization', 'activity_conceptual_modeling', 'activity_decomposition_correction', 'practice_independence_views', 'lecture_transaction', 'practice_transaction', 'lecture_isolation', 'practice_spring_2tiers', 'practice_jpa_advanced', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'prerequisite_archiweb', 'lecture_transaction', 'practice_transaction', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'practice_jpa_advanced', 'practice_spring_2tiers_ext', 'prerequisite_data', 'lecture_normalization']",7.208,failure
2418,"['technical_environment_home', 'documentation_docker', 'practice_docker', 'documentation_docker', 'practice_docker', 'practice_postgresql', 'practice_docker', 'web_architecture_home', 'technical_environment_home', 'practice_docker', 'practice_docker_advanced', 'practice_postgresql', 'documentation_programming', 'inversion_of_control', 'spring_bean', 'practice_spring', 'technical_environment_home', 'practice_postgresql', 'documentation_programming', 'practice_spring', 'practice_docker_advanced', 'practice_spring', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_mvc_spring', 'lecture_jpa', 'practice_jpa', 'web_architecture_home', 'practice_jpa', 'technical_environment_home', 'lecture_jpa', 'web_architecture_home', 'practice_jpa', 'practice_spring_2tiers', 'web_architecture_home', 'practice_spring_2tiers', 'practice_jpa', 'practice_spring_2tiers_ext', 'technical_environment_home', 'web_architecture_home', 'lecture_mvc_spring', 'web_architecture_home', 'practice_spring_2tiers', 'practice_spring_2tiers_ext', 'web_architecture_home', 'practice_spring_2tiers_ext', 'lecture_dto', 'lecture_xml', 'lecture_json', 'practice_json', 'lecture_json', 'practice_json', 'lecture_json', 'practice_xml', 'lecture_xml', 'practice_xml', 'web_architecture_home', 'practice_xml', 'lecture_relational_model', 'lecture_db_integrity', 'lecture_relational_algebra', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'activity_normalization', 'lecture_conceptual_modeling', 'lecture_modeling_normalization', 'lecture_normalization', 'activity_decomposition', 'activity_sql', 'practice_sql', 'activity_sql', 'lecture_transaction', 'practice_transaction', 'practice_transaction_correction', 'practice_transaction', 'web_architecture_home', 'lecture_validity', 'lecture_transaction', 'prerequisite_data', 'lecture_conceptual_modeling', 'lecture_relational_model', 'lecture_db_integrity', 'lecture_relational_algebra', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_decomposition', 'activity_normalization', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'activity_normalization', 'activity_normalization_correction', 'web_architecture_home', 'lecture_xml', 'lecture_validity', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_jpa', 'lecture_mvc_spring', 'practice_jpa', 'activity_sql', 'lecture_relational_model', 'lecture_db_integrity', 'activity_relational_model', 'lecture_transaction', 'activity_conceptual_modeling', 'activity_conceptual_modeling_correction', 'activity_normalization', 'activity_normalization_correction', 'lecture_conceptual_modeling', 'lecture_normalization', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'technical_environment_home', 'web_architecture_home', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_technical_architecture', 'lecture_software_architecture', 'lecture_technical_architecture', 'web_architecture_home', 'practice_jpa', 'lecture_jpa', 'lecture_mvc_spring', 'practice_jpa_advanced', 'practice_spring_2tiers', 'practice_spring_2tiers_ext', 'lecture_technical_architecture', 'lecture_software_architecture', 'technical_environment_home', 'inversion_of_control', 'lecture_relational_model', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'activity_sql', 'practice_sql', 'practice_advanced_sql', 'web_architecture_home', 'lecture_relational_algebra', 'lecture_db_integrity', 'activity_relational_model', 'lecture_modeling_normalization', 'lecture_conceptual_modeling', 'lecture_normalization', 'activity_decomposition', 'lecture_normalization', 'activity_normalization', 'activity_normalization_correction']",18.36,success
